entity_id,state,last_changed
sensor.elmatare_diskmaskin_current,0.67,2025-05-18T15:00:49.664Z
sensor.elmatare_diskmaskin_current,0.672,2025-05-18T15:00:54.645Z
sensor.elmatare_diskmaskin_current,0.671,2025-05-18T15:00:59.738Z
sensor.elmatare_diskmaskin_current,0.669,2025-05-18T15:01:04.694Z
sensor.elmatare_diskmaskin_current,0.671,2025-05-18T15:01:09.694Z
sensor.elmatare_diskmaskin_current,0.669,2025-05-18T15:01:14.749Z
sensor.elmatare_diskmaskin_current,0.673,2025-05-18T15:01:19.717Z
sensor.elmatare_diskmaskin_current,0.672,2025-05-18T15:01:24.748Z
sensor.elmatare_diskmaskin_current,0.24,2025-05-18T15:01:29.728Z
sensor.elmatare_diskmaskin_current,0.287,2025-05-18T15:01:34.702Z
sensor.elmatare_diskmaskin_current,0.54,2025-05-18T15:01:39.752Z
sensor.elmatare_diskmaskin_current,0.539,2025-05-18T15:01:44.811Z
sensor.elmatare_diskmaskin_current,0.538,2025-05-18T15:01:49.807Z
sensor.elmatare_diskmaskin_current,0.539,2025-05-18T15:01:54.891Z
sensor.elmatare_diskmaskin_current,0.538,2025-05-18T15:01:59.817Z
sensor.elmatare_diskmaskin_current,0.535,2025-05-18T15:02:04.836Z
sensor.elmatare_diskmaskin_current,9.739,2025-05-18T15:02:09.826Z
sensor.elmatare_diskmaskin_current,9.722,2025-05-18T15:02:14.822Z
sensor.elmatare_diskmaskin_current,9.719,2025-05-18T15:02:19.828Z
sensor.elmatare_diskmaskin_current,9.702,2025-05-18T15:02:24.909Z
sensor.elmatare_diskmaskin_current,9.704,2025-05-18T15:02:29.827Z
sensor.elmatare_diskmaskin_current,9.705,2025-05-18T15:02:34.850Z
sensor.elmatare_diskmaskin_current,9.71,2025-05-18T15:02:39.882Z
sensor.elmatare_diskmaskin_current,9.688,2025-05-18T15:02:44.836Z
sensor.elmatare_diskmaskin_current,9.699,2025-05-18T15:02:49.861Z
sensor.elmatare_diskmaskin_current,9.682,2025-05-18T15:02:59.853Z
sensor.elmatare_diskmaskin_current,9.679,2025-05-18T15:03:04.918Z
sensor.elmatare_diskmaskin_current,9.682,2025-05-18T15:03:09.860Z
sensor.elmatare_diskmaskin_current,9.676,2025-05-18T15:03:14.861Z
sensor.elmatare_diskmaskin_current,9.667,2025-05-18T15:03:19.982Z
sensor.elmatare_diskmaskin_current,9.662,2025-05-18T15:03:24.869Z
sensor.elmatare_diskmaskin_current,9.657,2025-05-18T15:03:29.880Z
sensor.elmatare_diskmaskin_current,9.609,2025-05-18T15:03:34.896Z
sensor.elmatare_diskmaskin_current,9.613,2025-05-18T15:03:39.884Z
sensor.elmatare_diskmaskin_current,9.712,2025-05-18T15:03:44.934Z
sensor.elmatare_diskmaskin_current,9.721,2025-05-18T15:03:49.930Z
sensor.elmatare_diskmaskin_current,9.728,2025-05-18T15:03:54.878Z
sensor.elmatare_diskmaskin_current,9.705,2025-05-18T15:04:00.008Z
sensor.elmatare_diskmaskin_current,9.693,2025-05-18T15:04:04.936Z
sensor.elmatare_diskmaskin_current,9.691,2025-05-18T15:04:15.074Z
sensor.elmatare_diskmaskin_current,9.693,2025-05-18T15:04:20.022Z
sensor.elmatare_diskmaskin_current,9.686,2025-05-18T15:04:24.989Z
sensor.elmatare_diskmaskin_current,9.697,2025-05-18T15:04:29.994Z
sensor.elmatare_diskmaskin_current,9.694,2025-05-18T15:04:35.005Z
sensor.elmatare_diskmaskin_current,9.692,2025-05-18T15:04:40.003Z
sensor.elmatare_diskmaskin_current,9.722,2025-05-18T15:04:45.005Z
sensor.elmatare_diskmaskin_current,9.715,2025-05-18T15:04:50.067Z
sensor.elmatare_diskmaskin_current,9.697,2025-05-18T15:04:55.025Z
sensor.elmatare_diskmaskin_current,9.705,2025-05-18T15:05:00.023Z
sensor.elmatare_diskmaskin_current,9.702,2025-05-18T15:05:10.022Z
sensor.elmatare_diskmaskin_current,9.707,2025-05-18T15:05:15.024Z
sensor.elmatare_diskmaskin_current,9.696,2025-05-18T15:05:20.025Z
sensor.elmatare_diskmaskin_current,9.693,2025-05-18T15:05:25.027Z
sensor.elmatare_diskmaskin_current,9.685,2025-05-18T15:05:30.025Z
sensor.elmatare_diskmaskin_current,9.68,2025-05-18T15:05:35.034Z
sensor.elmatare_diskmaskin_current,9.405,2025-05-18T15:05:40.040Z
sensor.elmatare_diskmaskin_current,9.392,2025-05-18T15:05:45.039Z
sensor.elmatare_diskmaskin_current,9.591,2025-05-18T15:05:50.142Z
sensor.elmatare_diskmaskin_current,9.601,2025-05-18T15:05:55.047Z
sensor.elmatare_diskmaskin_current,9.637,2025-05-18T15:06:00.106Z
sensor.elmatare_diskmaskin_current,9.631,2025-05-18T15:06:05.097Z
sensor.elmatare_diskmaskin_current,9.639,2025-05-18T15:06:10.101Z
sensor.elmatare_diskmaskin_current,9.64,2025-05-18T15:06:15.118Z
sensor.elmatare_diskmaskin_current,9.627,2025-05-18T15:06:20.155Z
